"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","I5101",""
"地域 コード","地域","調査年 コード","調査年","/項目","I5101_病院数【施設】","注釈"
"01106","北海道 札幌市 南区","2019100000","2019年度","","16",""
"01106","北海道 札幌市 南区","2018100000","2018年度","","16",""
"01106","北海道 札幌市 南区","2017100000","2017年度","","16",""
"01106","北海道 札幌市 南区","2016100000","2016年度","","17",""
"01106","北海道 札幌市 南区","2015100000","2015年度","","18",""
"01106","北海道 札幌市 南区","2014100000","2014年度","","18",""
"01106","北海道 札幌市 南区","2013100000","2013年度","","18",""
"01106","北海道 札幌市 南区","2012100000","2012年度","","18",""
"01106","北海道 札幌市 南区","2011100000","2011年度","","18",""
"01106","北海道 札幌市 南区","2010100000","2010年度","","17",""
"01106","北海道 札幌市 南区","2009100000","2009年度","","18",""
"01106","北海道 札幌市 南区","2008100000","2008年度","","18",""
"01106","北海道 札幌市 南区","2007100000","2007年度","","18",""
"01106","北海道 札幌市 南区","2006100000","2006年度","","18",""
"01106","北海道 札幌市 南区","2005100000","2005年度","","18",""
"01106","北海道 札幌市 南区","2004100000","2004年度","","18",""
"01106","北海道 札幌市 南区","2003100000","2003年度","","18",""
"01106","北海道 札幌市 南区","2002100000","2002年度","","17",""
"01106","北海道 札幌市 南区","2001100000","2001年度","","17",""
"01106","北海道 札幌市 南区","2000100000","2000年度","","17",""
"01106","北海道 札幌市 南区","1999100000","1999年度","","17",""
"01106","北海道 札幌市 南区","1998100000","1998年度","","17",""
"01106","北海道 札幌市 南区","1997100000","1997年度","","17",""
"01107","北海道 札幌市 西区","2019100000","2019年度","","23",""
"01107","北海道 札幌市 西区","2018100000","2018年度","","23",""
"01107","北海道 札幌市 西区","2017100000","2017年度","","23",""
"01107","北海道 札幌市 西区","2016100000","2016年度","","23",""
"01107","北海道 札幌市 西区","2015100000","2015年度","","23",""
"01107","北海道 札幌市 西区","2014100000","2014年度","","23",""
"01107","北海道 札幌市 西区","2013100000","2013年度","","23",""
"01107","北海道 札幌市 西区","2012100000","2012年度","","23",""
"01107","北海道 札幌市 西区","2011100000","2011年度","","22",""
"01107","北海道 札幌市 西区","2010100000","2010年度","","23",""
"01107","北海道 札幌市 西区","2009100000","2009年度","","22",""
"01107","北海道 札幌市 西区","2008100000","2008年度","","22",""
"01107","北海道 札幌市 西区","2007100000","2007年度","","24",""
"01107","北海道 札幌市 西区","2006100000","2006年度","","25",""
"01107","北海道 札幌市 西区","2005100000","2005年度","","26",""
"01107","北海道 札幌市 西区","2004100000","2004年度","","26",""
"01107","北海道 札幌市 西区","2003100000","2003年度","","25",""
"01107","北海道 札幌市 西区","2002100000","2002年度","","25",""
"01107","北海道 札幌市 西区","2001100000","2001年度","","24",""
"01107","北海道 札幌市 西区","2000100000","2000年度","","24",""
"01107","北海道 札幌市 西区","1999100000","1999年度","","25",""
"01107","北海道 札幌市 西区","1998100000","1998年度","","25",""
"01107","北海道 札幌市 西区","1997100000","1997年度","","26",""
"01108","北海道 札幌市 厚別区","2019100000","2019年度","","16",""
"01108","北海道 札幌市 厚別区","2018100000","2018年度","","16",""
"01108","北海道 札幌市 厚別区","2017100000","2017年度","","16",""
"01108","北海道 札幌市 厚別区","2016100000","2016年度","","16",""
"01108","北海道 札幌市 厚別区","2015100000","2015年度","","16",""
"01108","北海道 札幌市 厚別区","2014100000","2014年度","","16",""
"01108","北海道 札幌市 厚別区","2013100000","2013年度","","16",""
"01108","北海道 札幌市 厚別区","2012100000","2012年度","","16",""
"01108","北海道 札幌市 厚別区","2011100000","2011年度","","14",""
"01108","北海道 札幌市 厚別区","2010100000","2010年度","","14",""
"01108","北海道 札幌市 厚別区","2009100000","2009年度","","14",""
"01108","北海道 札幌市 厚別区","2008100000","2008年度","","14",""
"01108","北海道 札幌市 厚別区","2007100000","2007年度","","14",""
"01108","北海道 札幌市 厚別区","2006100000","2006年度","","14",""
"01108","北海道 札幌市 厚別区","2005100000","2005年度","","14",""
"01108","北海道 札幌市 厚別区","2004100000","2004年度","","14",""
"01108","北海道 札幌市 厚別区","2003100000","2003年度","","14",""
"01108","北海道 札幌市 厚別区","2002100000","2002年度","","14",""
"01108","北海道 札幌市 厚別区","2001100000","2001年度","","14",""
"01108","北海道 札幌市 厚別区","2000100000","2000年度","","14",""
"01108","北海道 札幌市 厚別区","1999100000","1999年度","","14",""
"01108","北海道 札幌市 厚別区","1998100000","1998年度","","14",""
"01108","北海道 札幌市 厚別区","1997100000","1997年度","","14",""
"01109","北海道 札幌市 手稲区","2019100000","2019年度","","14",""
"01109","北海道 札幌市 手稲区","2018100000","2018年度","","14",""
"01109","北海道 札幌市 手稲区","2017100000","2017年度","","14",""
"01109","北海道 札幌市 手稲区","2016100000","2016年度","","14",""
"01109","北海道 札幌市 手稲区","2015100000","2015年度","","14",""
"01109","北海道 札幌市 手稲区","2014100000","2014年度","","14",""
"01109","北海道 札幌市 手稲区","2013100000","2013年度","","15",""
"01109","北海道 札幌市 手稲区","2012100000","2012年度","","15",""
"01109","北海道 札幌市 手稲区","2011100000","2011年度","","15",""
"01109","北海道 札幌市 手稲区","2010100000","2010年度","","15",""
"01109","北海道 札幌市 手稲区","2009100000","2009年度","","15",""
"01109","北海道 札幌市 手稲区","2008100000","2008年度","","15",""
"01109","北海道 札幌市 手稲区","2007100000","2007年度","","15",""
"01109","北海道 札幌市 手稲区","2006100000","2006年度","","15",""
"01109","北海道 札幌市 手稲区","2005100000","2005年度","","15",""
"01109","北海道 札幌市 手稲区","2004100000","2004年度","","15",""
"01109","北海道 札幌市 手稲区","2003100000","2003年度","","15",""
"01109","北海道 札幌市 手稲区","2002100000","2002年度","","15",""
"01109","北海道 札幌市 手稲区","2001100000","2001年度","","15",""
"01109","北海道 札幌市 手稲区","2000100000","2000年度","","15",""
"01109","北海道 札幌市 手稲区","1999100000","1999年度","","15",""
"01109","北海道 札幌市 手稲区","1998100000","1998年度","","15",""
"01109","北海道 札幌市 手稲区","1997100000","1997年度","","16",""
"01110","北海道 札幌市 清田区","2019100000","2019年度","","11",""
"01110","北海道 札幌市 清田区","2018100000","2018年度","","11",""
"01110","北海道 札幌市 清田区","2017100000","2017年度","","11",""
"01110","北海道 札幌市 清田区","2016100000","2016年度","","11",""
"01110","北海道 札幌市 清田区","2015100000","2015年度","","11",""
"01110","北海道 札幌市 清田区","2014100000","2014年度","","11",""
"01110","北海道 札幌市 清田区","2013100000","2013年度","","11",""
"01110","北海道 札幌市 清田区","2012100000","2012年度","","11",""
"01110","北海道 札幌市 清田区","2011100000","2011年度","","11",""
"01110","北海道 札幌市 清田区","2010100000","2010年度","","11",""
"01110","北海道 札幌市 清田区","2009100000","2009年度","","11",""
"01110","北海道 札幌市 清田区","2008100000","2008年度","","11",""
"01110","北海道 札幌市 清田区","2007100000","2007年度","","11",""
"01110","北海道 札幌市 清田区","2006100000","2006年度","","12",""
"01110","北海道 札幌市 清田区","2005100000","2005年度","","12",""
"01110","北海道 札幌市 清田区","2004100000","2004年度","","12",""
"01110","北海道 札幌市 清田区","2003100000","2003年度","","12",""
"01110","北海道 札幌市 清田区","2002100000","2002年度","","12",""
"01110","北海道 札幌市 清田区","2001100000","2001年度","","13",""
"01110","北海道 札幌市 清田区","2000100000","2000年度","","13",""
"01110","北海道 札幌市 清田区","1999100000","1999年度","","14",""
"01110","北海道 札幌市 清田区","1998100000","1998年度","","14",""
"01202","北海道 函館市","2019100000","2019年度","","27",""
"01202","北海道 函館市","2018100000","2018年度","","29",""
