"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","#A03504","","#A03506",""
"地域 コード","地域","調査年 コード","調査年","/項目","#A03504_15歳未満人口割合【％】","注釈","#A03506_65歳以上人口割合【％】","注釈"
"01210","北海道 岩見沢市","1990100000","1990年度","","17.284","","13.788",""
"01210","北海道 岩見沢市","1985100000","1985年度","","19.917","","11.031",""
"01210","北海道 岩見沢市","1980100000","1980年度","","21.409","","9.325",""
"01211","北海道 網走市","2015100000","2015年度","","11.697","","27.359",""
"01211","北海道 網走市","2010100000","2010年度","","12.345","","22.743",""
"01211","北海道 網走市","2005100000","2005年度","","13.100","","20.021",""
"01211","北海道 網走市","2000100000","2000年度","","14.320","","16.873",""
"01211","北海道 網走市","1995100000","1995年度","","16.371","","13.854",""
"01211","北海道 網走市","1990100000","1990年度","","19.295","","11.034",""
"01211","北海道 網走市","1985100000","1985年度","","22.471","","8.818",""
"01211","北海道 網走市","1980100000","1980年度","","23.836","","7.126",""
"01212","北海道 留萌市","2015100000","2015年度","","10.306","","33.810",""
"01212","北海道 留萌市","2010100000","2010年度","","11.248","","28.209",""
"01212","北海道 留萌市","2005100000","2005年度","","12.674","","23.190",""
"01212","北海道 留萌市","2000100000","2000年度","","14.196","","18.648",""
"01212","北海道 留萌市","1995100000","1995年度","","16.633","","15.116",""
"01212","北海道 留萌市","1990100000","1990年度","","19.384","","11.749",""
"01212","北海道 留萌市","1985100000","1985年度","","22.691","","9.102",""
"01212","北海道 留萌市","1980100000","1980年度","","24.584","","8.046",""
"01213","北海道 苫小牧市","2015100000","2015年度","","12.968","","25.744",""
"01213","北海道 苫小牧市","2010100000","2010年度","","13.545","","21.068",""
"01213","北海道 苫小牧市","2005100000","2005年度","","14.225","","18.080",""
"01213","北海道 苫小牧市","2000100000","2000年度","","15.367","","14.758",""
"01213","北海道 苫小牧市","1995100000","1995年度","","17.598","","11.721",""
"01213","北海道 苫小牧市","1990100000","1990年度","","20.590","","9.381",""
"01213","北海道 苫小牧市","1985100000","1985年度","","24.218","","7.209",""
"01213","北海道 苫小牧市","1980100000","1980年度","","25.512","","5.583",""
"01214","北海道 稚内市","2015100000","2015年度","","11.831","","28.876",""
"01214","北海道 稚内市","2010100000","2010年度","","12.140","","24.405",""
"01214","北海道 稚内市","2005100000","2005年度","","12.966","","20.752",""
"01214","北海道 稚内市","2000100000","2000年度","","14.340","","17.252",""
"01214","北海道 稚内市","1995100000","1995年度","","16.764","","13.402",""
"01214","北海道 稚内市","1990100000","1990年度","","19.444","","10.226",""
"01214","北海道 稚内市","1985100000","1985年度","","22.563","","8.015",""
"01214","北海道 稚内市","1980100000","1980年度","","24.514","","6.592",""
"01215","北海道 美唄市","2015100000","2015年度","","8.565","","38.433",""
"01215","北海道 美唄市","2010100000","2010年度","","9.883","","32.861",""
"01215","北海道 美唄市","2005100000","2005年度","","10.927","","28.804",""
"01215","北海道 美唄市","2000100000","2000年度","","11.920","","25.078",""
"01215","北海道 美唄市","1995100000","1995年度","","13.450","","20.952",""
"01215","北海道 美唄市","1990100000","1990年度","","15.940","","17.091",""
"01215","北海道 美唄市","1985100000","1985年度","","18.354","","13.928",""
"01215","北海道 美唄市","1980100000","1980年度","","20.170","","11.641",""
"01216","北海道 芦別市","2015100000","2015年度","","7.557","","43.643",""
"01216","北海道 芦別市","2010100000","2010年度","","8.594","","38.531",""
"01216","北海道 芦別市","2005100000","2005年度","","10.106","","33.986",""
"01216","北海道 芦別市","2000100000","2000年度","","11.514","","28.541",""
"01216","北海道 芦別市","1995100000","1995年度","","12.891","","22.856",""
"01216","北海道 芦別市","1990100000","1990年度","","15.125","","17.988",""
"01216","北海道 芦別市","1985100000","1985年度","","18.393","","13.806",""
"01216","北海道 芦別市","1980100000","1980年度","","20.837","","10.991",""
"01217","北海道 江別市","2015100000","2015年度","","11.211","","27.011",""
"01217","北海道 江別市","2010100000","2010年度","","12.157","","21.830",""
"01217","北海道 江別市","2005100000","2005年度","","13.833","","17.899",""
"01217","北海道 江別市","2000100000","2000年度","","15.512","","15.202",""
"01217","北海道 江別市","1995100000","1995年度","","16.861","","12.403",""
"01217","北海道 江別市","1990100000","1990年度","","18.298","","10.649",""
"01217","北海道 江別市","1985100000","1985年度","","21.153","","8.538",""
"01217","北海道 江別市","1980100000","1980年度","","23.399","","6.798",""
"01218","北海道 赤平市","2015100000","2015年度","","7.519","","44.701",""
"01218","北海道 赤平市","2010100000","2010年度","","8.483","","38.846",""
"01218","北海道 赤平市","2005100000","2005年度","","9.652","","34.636",""
"01218","北海道 赤平市","2000100000","2000年度","","9.979","","29.893",""
"01218","北海道 赤平市","1995100000","1995年度","","11.544","","24.148",""
"01218","北海道 赤平市","1990100000","1990年度","","14.004","","18.553",""
"01218","北海道 赤平市","1985100000","1985年度","","17.311","","13.818",""
"01218","北海道 赤平市","1980100000","1980年度","","19.362","","10.256",""
"01219","北海道 紋別市","2015100000","2015年度","","10.078","","33.022",""
"01219","北海道 紋別市","2010100000","2010年度","","11.208","","28.699",""
"01219","北海道 紋別市","2005100000","2005年度","","12.583","","24.760",""
"01219","北海道 紋別市","2000100000","2000年度","","13.527","","20.347",""
"01219","北海道 紋別市","1995100000","1995年度","","15.177","","15.871",""
"01219","北海道 紋別市","1990100000","1990年度","","17.565","","12.520",""
"01219","北海道 紋別市","1985100000","1985年度","","20.496","","9.763",""
"01219","北海道 紋別市","1980100000","1980年度","","22.183","","7.865",""
"01220","北海道 士別市","2015100000","2015年度","","10.375","","37.416",""
"01220","北海道 士別市","2010100000","2010年度","","11.860","","32.744",""
"01220","北海道 士別市","2005100000","2005年度","","12.345","","28.888",""
"01220","北海道 士別市","2000100000","2000年度","","13.169","","24.797",""
"01220","北海道 士別市","1995100000","1995年度","","14.714","","20.732",""
"01220","北海道 士別市","1990100000","1990年度","","17.343","","16.061",""
"01220","北海道 士別市","1985100000","1985年度","","19.866","","12.617",""
"01220","北海道 士別市","1980100000","1980年度","","21.957","","10.320",""
"01221","北海道 名寄市","2015100000","2015年度","","11.887","","30.274",""
"01221","北海道 名寄市","2010100000","2010年度","","12.314","","26.894",""
"01221","北海道 名寄市","2005100000","2005年度","","12.849","","24.915",""
"01221","北海道 名寄市","2000100000","2000年度","","13.757","","21.360",""
"01221","北海道 名寄市","1995100000","1995年度","","15.555","","17.606",""
"01221","北海道 名寄市","1990100000","1990年度","","18.167","","13.927",""
"01221","北海道 名寄市","1985100000","1985年度","","21.427","","10.672",""
