"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","#A03504","","#A03506",""
"地域 コード","地域","調査年 コード","調査年","/項目","#A03504_15歳未満人口割合【％】","注釈","#A03506_65歳以上人口割合【％】","注釈"
"20204","長野県 岡谷市","1990100000","1990年度","","17.743","","14.154",""
"20204","長野県 岡谷市","1985100000","1985年度","","21.724","","11.524",""
"20204","長野県 岡谷市","1980100000","1980年度","","24.477","","10.185",""
"20205","長野県 飯田市","2015100000","2015年度","","13.397","","30.958",""
"20205","長野県 飯田市","2010100000","2010年度","","14.048","","28.032",""
"20205","長野県 飯田市","2005100000","2005年度","","14.778","","25.864",""
"20205","長野県 飯田市","2000100000","2000年度","","15.266","","23.561",""
"20205","長野県 飯田市","1995100000","1995年度","","16.367","","21.187",""
"20205","長野県 飯田市","1990100000","1990年度","","17.905","","17.936",""
"20205","長野県 飯田市","1985100000","1985年度","","20.379","","15.269",""
"20205","長野県 飯田市","1980100000","1980年度","","21.677","","13.343",""
"20206","長野県 諏訪市","2015100000","2015年度","","13.141","","29.005",""
"20206","長野県 諏訪市","2010100000","2010年度","","14.020","","25.127",""
"20206","長野県 諏訪市","2005100000","2005年度","","14.344","","21.456",""
"20206","長野県 諏訪市","2000100000","2000年度","","14.720","","18.690",""
"20206","長野県 諏訪市","1995100000","1995年度","","15.788","","16.905",""
"20206","長野県 諏訪市","1990100000","1990年度","","18.073","","14.074",""
"20206","長野県 諏訪市","1985100000","1985年度","","21.797","","11.995",""
"20206","長野県 諏訪市","1980100000","1980年度","","23.725","","11.078",""
"20207","長野県 須坂市","2015100000","2015年度","","13.055","","30.299",""
"20207","長野県 須坂市","2010100000","2010年度","","13.894","","26.361",""
"20207","長野県 須坂市","2005100000","2005年度","","14.530","","23.032",""
"20207","長野県 須坂市","2000100000","2000年度","","15.144","","20.305",""
"20207","長野県 須坂市","1995100000","1995年度","","16.248","","17.523",""
"20207","長野県 須坂市","1990100000","1990年度","","19.023","","14.261",""
"20207","長野県 須坂市","1985100000","1985年度","","22.846","","11.805",""
"20207","長野県 須坂市","1980100000","1980年度","","25.079","","9.929",""
"20208","長野県 小諸市","2015100000","2015年度","","12.634","","30.243",""
"20208","長野県 小諸市","2010100000","2010年度","","13.312","","26.152",""
"20208","長野県 小諸市","2005100000","2005年度","","14.183","","22.787",""
"20208","長野県 小諸市","2000100000","2000年度","","15.295","","20.848",""
"20208","長野県 小諸市","1995100000","1995年度","","17.285","","18.269",""
"20208","長野県 小諸市","1990100000","1990年度","","19.083","","15.512",""
"20208","長野県 小諸市","1985100000","1985年度","","21.659","","13.367",""
"20208","長野県 小諸市","1980100000","1980年度","","23.043","","12.272",""
"20209","長野県 伊那市","2015100000","2015年度","","13.514","","29.912",""
"20209","長野県 伊那市","2010100000","2010年度","","14.397","","26.626",""
"20209","長野県 伊那市","2005100000","2005年度","","15.138","","24.306",""
"20209","長野県 伊那市","2000100000","2000年度","","15.668","","22.626",""
"20209","長野県 伊那市","1995100000","1995年度","","16.682","","20.258",""
"20209","長野県 伊那市","1990100000","1990年度","","18.427","","17.432",""
"20209","長野県 伊那市","1985100000","1985年度","","20.630","","14.829",""
"20209","長野県 伊那市","1980100000","1980年度","","21.943","","13.332",""
"20210","長野県 駒ヶ根市","2015100000","2015年度","","13.706","","29.195",""
"20210","長野県 駒ヶ根市","2010100000","2010年度","","14.528","","26.056",""
"20210","長野県 駒ヶ根市","2005100000","2005年度","","15.074","","23.544",""
"20210","長野県 駒ヶ根市","2000100000","2000年度","","15.385","","21.076",""
"20210","長野県 駒ヶ根市","1995100000","1995年度","","16.264","","18.866",""
"20210","長野県 駒ヶ根市","1990100000","1990年度","","17.790","","15.950",""
"20210","長野県 駒ヶ根市","1985100000","1985年度","","20.734","","13.517",""
"20210","長野県 駒ヶ根市","1980100000","1980年度","","22.531","","12.159",""
"20211","長野県 中野市","2015100000","2015年度","","13.141","","29.402",""
"20211","長野県 中野市","2010100000","2010年度","","14.133","","25.637",""
"20211","長野県 中野市","2005100000","2005年度","","15.027","","23.540",""
"20211","長野県 中野市","2000100000","2000年度","","16.236","","21.112",""
"20211","長野県 中野市","1995100000","1995年度","","17.673","","18.399",""
"20211","長野県 中野市","1990100000","1990年度","","19.842","","15.733",""
"20211","長野県 中野市","1985100000","1985年度","","22.245","","13.417",""
"20211","長野県 中野市","1980100000","1980年度","","23.601","","11.713",""
"20212","長野県 大町市","2015100000","2015年度","","10.806","","34.828",""
"20212","長野県 大町市","2010100000","2010年度","","12.483","","30.603",""
"20212","長野県 大町市","2005100000","2005年度","","13.965","","26.651",""
"20212","長野県 大町市","2000100000","2000年度","","14.560","","23.782",""
"20212","長野県 大町市","1995100000","1995年度","","15.068","","21.046",""
"20212","長野県 大町市","1990100000","1990年度","","16.717","","17.335",""
"20212","長野県 大町市","1985100000","1985年度","","19.647","","13.697",""
"20212","長野県 大町市","1980100000","1980年度","","21.783","","11.789",""
"20213","長野県 飯山市","2015100000","2015年度","","11.223","","34.639",""
"20213","長野県 飯山市","2010100000","2010年度","","12.461","","30.928",""
"20213","長野県 飯山市","2005100000","2005年度","","13.914","","29.139",""
"20213","長野県 飯山市","2000100000","2000年度","","15.257","","26.431",""
"20213","長野県 飯山市","1995100000","1995年度","","16.661","","23.291",""
"20213","長野県 飯山市","1990100000","1990年度","","18.311","","19.933",""
"20213","長野県 飯山市","1985100000","1985年度","","19.963","","16.188",""
"20213","長野県 飯山市","1980100000","1980年度","","20.710","","14.062",""
"20214","長野県 茅野市","2015100000","2015年度","","13.865","","28.273",""
"20214","長野県 茅野市","2010100000","2010年度","","14.619","","23.956",""
"20214","長野県 茅野市","2005100000","2005年度","","14.753","","20.375",""
"20214","長野県 茅野市","2000100000","2000年度","","15.264","","18.183",""
"20214","長野県 茅野市","1995100000","1995年度","","16.708","","16.583",""
"20214","長野県 茅野市","1990100000","1990年度","","19.283","","14.162",""
"20214","長野県 茅野市","1985100000","1985年度","","22.387","","12.563",""
"20214","長野県 茅野市","1980100000","1980年度","","24.202","","11.977",""
"20215","長野県 塩尻市","2015100000","2015年度","","12.947","","27.114",""
"20215","長野県 塩尻市","2010100000","2010年度","","13.993","","23.634",""
"20215","長野県 塩尻市","2005100000","2005年度","","14.709","","20.696",""
"20215","長野県 塩尻市","2000100000","2000年度","","15.037","","18.618",""
"20215","長野県 塩尻市","1995100000","1995年度","","16.106","","16.458",""
"20215","長野県 塩尻市","1990100000","1990年度","","18.540","","14.116",""
"20215","長野県 塩尻市","1985100000","1985年度","","21.729","","11.901",""
"20215","長野県 塩尻市","1980100000","1980年度","","23.291","","10.751",""
"20217","長野県 佐久市","2015100000","2015年度","","13.204","","28.687",""
"20217","長野県 佐久市","2010100000","2010年度","","14.328","","25.842",""
"20217","長野県 佐久市","2005100000","2005年度","","15.094","","24.304",""
"20217","長野県 佐久市","2000100000","2000年度","","15.997","","22.569",""
"20217","長野県 佐久市","1995100000","1995年度","","16.968","","20.626",""
"20217","長野県 佐久市","1990100000","1990年度","","18.768","","17.974",""
"20217","長野県 佐久市","1985100000","1985年度","","20.885","","15.457",""
"20217","長野県 佐久市","1980100000","1980年度","","22.190","","13.945",""
"20218","長野県 千曲市","2015100000","2015年度","","12.319","","31.364",""
"20218","長野県 千曲市","2010100000","2010年度","","13.445","","27.396",""
"20218","長野県 千曲市","2005100000","2005年度","","14.262","","23.873",""
"20218","長野県 千曲市","2000100000","2000年度","","15.221","","21.286",""
"20218","長野県 千曲市","1995100000","1995年度","","16.088","","18.585",""
"20218","長野県 千曲市","1990100000","1990年度","","18.036","","15.889",""
"20218","長野県 千曲市","1985100000","1985年度","","21.502","","13.335",""
"20218","長野県 千曲市","1980100000","1980年度","","23.530","","11.904",""
"20219","長野県 東御市","2015100000","2015年度","","13.346","","28.914",""
"20219","長野県 東御市","2010100000","2010年度","","14.155","","25.466",""
"20219","長野県 東御市","2005100000","2005年度","","14.880","","22.961",""
"20219","長野県 東御市","2000100000","2000年度","","16.042","","21.235",""
"20219","長野県 東御市","1995100000","1995年度","","17.389","","18.994",""
"20219","長野県 東御市","1990100000","1990年度","","19.293","","16.122",""
"20219","長野県 東御市","1985100000","1985年度","","21.797","","13.868",""
"20219","長野県 東御市","1980100000","1980年度","","22.931","","11.948",""
"20220","長野県 安曇野市","2015100000","2015年度","","12.967","","29.830",""
"20220","長野県 安曇野市","2010100000","2010年度","","13.920","","25.915",""
"20220","長野県 安曇野市","2005100000","2005年度","","14.369","","23.078",""
"20220","長野県 安曇野市","2000100000","2000年度","","14.906","","21.024",""
"20220","長野県 安曇野市","1995100000","1995年度","","15.550","","18.852",""
"20220","長野県 安曇野市","1990100000","1990年度","","17.584","","16.245",""
"20220","長野県 安曇野市","1985100000","1985年度","","20.363","","14.156",""
"20220","長野県 安曇野市","1980100000","1980年度","","22.141","","12.747",""
"20303","長野県 小海町","2015100000","2015年度","","9.400","","39.062",""
"20303","長野県 小海町","2010100000","2010年度","","10.676","","35.386",""
"20303","長野県 小海町","2005100000","2005年度","","12.802","","33.163",""
"20303","長野県 小海町","2000100000","2000年度","","14.494","","29.727",""
"20303","長野県 小海町","1995100000","1995年度","","16.646","","25.707",""
"20303","長野県 小海町","1990100000","1990年度","","18.130","","22.021",""
"20303","長野県 小海町","1985100000","1985年度","","19.455","","18.621",""
"20303","長野県 小海町","1980100000","1980年度","","21.288","","16.191",""
"20304","長野県 川上村","2015100000","2015年度","","10.962","","24.984",""
"20304","長野県 川上村","2010100000","2010年度","","12.430","","22.949",""
"20304","長野県 川上村","2005100000","2005年度","","16.852","","24.207",""
"20304","長野県 川上村","2000100000","2000年度","","18.867","","22.392",""
"20304","長野県 川上村","1995100000","1995年度","","20.113","","20.234",""
"20304","長野県 川上村","1990100000","1990年度","","20.775","","18.890",""
"20304","長野県 川上村","1985100000","1985年度","","21.015","","16.239",""
"20304","長野県 川上村","1980100000","1980年度","","21.999","","14.357",""
"20305","長野県 南牧村","2015100000","2015年度","","11.385","","28.198",""
"20305","長野県 南牧村","2010100000","2010年度","","12.812","","26.162",""
"20305","長野県 南牧村","2005100000","2005年度","","14.883","","26.531",""
"20305","長野県 南牧村","2000100000","2000年度","","17.203","","25.734",""
"20305","長野県 南牧村","1995100000","1995年度","","19.282","","21.713",""
"20305","長野県 南牧村","1990100000","1990年度","","20.659","","18.816",""
"20305","長野県 南牧村","1985100000","1985年度","","20.877","","15.686",""
"20305","長野県 南牧村","1980100000","1980年度","","21.776","","13.246",""
"20306","長野県 南相木村","2015100000","2015年度","","11.144","","41.493",""
"20306","長野県 南相木村","2010100000","2010年度","","12.667","","37.645",""
"20306","長野県 南相木村","2005100000","2005年度","","14.075","","39.444",""
"20306","長野県 南相木村","2000100000","2000年度","","12.311","","29.230",""
"20306","長野県 南相木村","1995100000","1995年度","","14.543","","28.711",""
"20306","長野県 南相木村","1990100000","1990年度","","13.012","","25.950",""
"20306","長野県 南相木村","1985100000","1985年度","","14.453","","21.404",""
"20306","長野県 南相木村","1980100000","1980年度","","16.646","","18.329",""
"20307","長野県 北相木村","2015100000","2015年度","","11.499","","39.276",""
"20307","長野県 北相木村","2010100000","2010年度","","8.314","","40.261",""
"20307","長野県 北相木村","2005100000","2005年度","","13.482","","38.854",""
"20307","長野県 北相木村","2000100000","2000年度","","15.317","","37.659",""
"20307","長野県 北相木村","1995100000","1995年度","","17.683","","31.882",""
"20307","長野県 北相木村","1990100000","1990年度","","14.657","","24.874",""
"20307","長野県 北相木村","1985100000","1985年度","","14.917","","19.833",""
"20307","長野県 北相木村","1980100000","1980年度","","15.704","","17.398",""
"20309","長野県 佐久穂町","2015100000","2015年度","","10.746","","35.321",""
"20309","長野県 佐久穂町","2010100000","2010年度","","12.014","","31.875",""
"20309","長野県 佐久穂町","2005100000","2005年度","","13.975","","29.337",""
"20309","長野県 佐久穂町","2000100000","2000年度","","15.600","","27.096",""
"20309","長野県 佐久穂町","1995100000","1995年度","","17.322","","23.996",""
"20309","長野県 佐久穂町","1990100000","1990年度","","18.466","","20.077",""
"20309","長野県 佐久穂町","1985100000","1985年度","","19.355","","17.252",""
"20309","長野県 佐久穂町","1980100000","1980年度","","20.410","","15.280",""
"20321","長野県 軽井沢町","2015100000","2015年度","","11.735","","29.536",""
"20321","長野県 軽井沢町","2010100000","2010年度","","12.898","","24.918",""
"20321","長野県 軽井沢町","2005100000","2005年度","","14.081","","22.410",""
"20321","長野県 軽井沢町","2000100000","2000年度","","15.191","","19.579",""
"20321","長野県 軽井沢町","1995100000","1995年度","","16.859","","17.504",""
"20321","長野県 軽井沢町","1990100000","1990年度","","18.947","","14.537",""
"20321","長野県 軽井沢町","1985100000","1985年度","","21.048","","12.365",""
"20321","長野県 軽井沢町","1980100000","1980年度","","22.346","","11.377",""
"20323","長野県 御代田町","2015100000","2015年度","","13.580","","25.514",""
"20323","長野県 御代田町","2010100000","2010年度","","15.056","","22.154",""
"20323","長野県 御代田町","2005100000","2005年度","","15.732","","20.008",""
"20323","長野県 御代田町","2000100000","2000年度","","16.396","","17.924",""
"20323","長野県 御代田町","1995100000","1995年度","","17.697","","16.026",""
"20323","長野県 御代田町","1990100000","1990年度","","20.740","","14.040",""
"20323","長野県 御代田町","1985100000","1985年度","","22.433","","12.194",""
"20323","長野県 御代田町","1980100000","1980年度","","23.145","","10.710",""
"20324","長野県 立科町","2015100000","2015年度","","10.833","","33.586",""
"20324","長野県 立科町","2010100000","2010年度","","12.223","","29.532",""
"20324","長野県 立科町","2005100000","2005年度","","13.464","","27.122",""
"20324","長野県 立科町","2000100000","2000年度","","14.496","","24.974",""
"20324","長野県 立科町","1995100000","1995年度","","15.875","","22.991",""
"20324","長野県 立科町","1990100000","1990年度","","17.903","","19.528",""
"20324","長野県 立科町","1985100000","1985年度","","19.208","","16.511",""
"20324","長野県 立科町","1980100000","1980年度","","19.816","","14.880",""
"20349","長野県 青木村","2015100000","2015年度","","11.559","","36.795",""
"20349","長野県 青木村","2010100000","2010年度","","12.085","","33.652",""
"20349","長野県 青木村","2005100000","2005年度","","12.380","","31.357",""
"20349","長野県 青木村","2000100000","2000年度","","13.551","","28.479",""
"20349","長野県 青木村","1995100000","1995年度","","14.251","","26.164",""
"20349","長野県 青木村","1990100000","1990年度","","16.027","","22.482",""
"20349","長野県 青木村","1985100000","1985年度","","18.251","","18.755",""
"20349","長野県 青木村","1980100000","1980年度","","19.657","","17.388",""
"20350","長野県 長和町","2015100000","2015年度","","10.120","","38.015",""
"20350","長野県 長和町","2010100000","2010年度","","10.973","","34.056",""
"20350","長野県 長和町","2005100000","2005年度","","12.363","","31.914",""
"20350","長野県 長和町","2000100000","2000年度","","14.000","","30.012",""
"20350","長野県 長和町","1995100000","1995年度","","15.534","","27.340",""
"20350","長野県 長和町","1990100000","1990年度","","16.821","","22.082",""
"20350","長野県 長和町","1985100000","1985年度","","17.635","","18.840",""
"20350","長野県 長和町","1980100000","1980年度","","17.605","","16.298",""
"20361","長野県 下諏訪町","2015100000","2015年度","","11.776","","35.887",""
"20361","長野県 下諏訪町","2010100000","2010年度","","12.238","","31.948",""
"20361","長野県 下諏訪町","2005100000","2005年度","","12.671","","26.672",""
"20361","長野県 下諏訪町","2000100000","2000年度","","12.946","","23.122",""
"20361","長野県 下諏訪町","1995100000","1995年度","","14.106","","18.781",""
"20361","長野県 下諏訪町","1990100000","1990年度","","16.752","","14.954",""
"20361","長野県 下諏訪町","1985100000","1985年度","","21.267","","11.766",""
"20361","長野県 下諏訪町","1980100000","1980年度","","23.971","","10.213",""
"20362","長野県 富士見町","2015100000","2015年度","","12.440","","33.609",""
"20362","長野県 富士見町","2010100000","2010年度","","12.661","","29.782",""
"20362","長野県 富士見町","2005100000","2005年度","","13.028","","27.248",""
"20362","長野県 富士見町","2000100000","2000年度","","14.313","","25.942",""
"20362","長野県 富士見町","1995100000","1995年度","","16.228","","23.369",""
"20362","長野県 富士見町","1990100000","1990年度","","18.126","","20.108",""
"20362","長野県 富士見町","1985100000","1985年度","","19.390","","17.165",""
"20362","長野県 富士見町","1980100000","1980年度","","19.581","","16.697",""
"20363","長野県 原村","2015100000","2015年度","","12.900","","32.355",""
"20363","長野県 原村","2010100000","2010年度","","13.244","","26.872",""
"20363","長野県 原村","2005100000","2005年度","","13.855","","25.094",""
"20363","長野県 原村","2000100000","2000年度","","15.873","","23.602",""
"20363","長野県 原村","1995100000","1995年度","","17.716","","21.784",""
"20363","長野県 原村","1990100000","1990年度","","19.056","","18.548",""
"20363","長野県 原村","1985100000","1985年度","","19.234","","16.112",""
"20363","長野県 原村","1980100000","1980年度","","18.514","","14.433",""
"20382","長野県 辰野町","2015100000","2015年度","","12.013","","34.456",""
"20382","長野県 辰野町","2010100000","2010年度","","12.990","","30.207",""
"20382","長野県 辰野町","2005100000","2005年度","","13.421","","26.591",""
"20382","長野県 辰野町","2000100000","2000年度","","13.875","","23.412",""
"20382","長野県 辰野町","1995100000","1995年度","","14.703","","20.420",""
"20382","長野県 辰野町","1990100000","1990年度","","16.878","","16.669",""
"20382","長野県 辰野町","1985100000","1985年度","","20.551","","14.293",""
"20382","長野県 辰野町","1980100000","1980年度","","22.897","","12.714",""
"20383","長野県 箕輪町","2015100000","2015年度","","14.227","","27.301",""
"20383","長野県 箕輪町","2010100000","2010年度","","14.553","","23.560",""
"20383","長野県 箕輪町","2005100000","2005年度","","14.880","","20.448",""
"20383","長野県 箕輪町","2000100000","2000年度","","15.588","","18.857",""
"20383","長野県 箕輪町","1995100000","1995年度","","16.484","","17.191",""
"20383","長野県 箕輪町","1990100000","1990年度","","19.924","","14.679",""
"20383","長野県 箕輪町","1985100000","1985年度","","23.040","","12.963",""
"20383","長野県 箕輪町","1980100000","1980年度","","23.939","","11.699",""
"20384","長野県 飯島町","2015100000","2015年度","","11.668","","33.578",""
"20384","長野県 飯島町","2010100000","2010年度","","11.836","","30.479",""
"20384","長野県 飯島町","2005100000","2005年度","","13.160","","26.641",""
"20384","長野県 飯島町","2000100000","2000年度","","14.842","","24.754",""
"20384","長野県 飯島町","1995100000","1995年度","","15.652","","21.904",""
"20384","長野県 飯島町","1990100000","1990年度","","18.054","","18.433",""
"20384","長野県 飯島町","1985100000","1985年度","","19.972","","16.282",""
"20384","長野県 飯島町","1980100000","1980年度","","20.561","","14.503",""
"20385","長野県 南箕輪村","2015100000","2015年度","","15.973","","22.419",""
"20385","長野県 南箕輪村","2010100000","2010年度","","16.063","","19.783",""
"20385","長野県 南箕輪村","2005100000","2005年度","","16.167","","17.717",""
"20385","長野県 南箕輪村","2000100000","2000年度","","16.458","","15.891",""
"20385","長野県 南箕輪村","1995100000","1995年度","","17.473","","14.588",""
"20385","長野県 南箕輪村","1990100000","1990年度","","19.886","","12.995",""
"20385","長野県 南箕輪村","1985100000","1985年度","","22.704","","11.271",""
"20385","長野県 南箕輪村","1980100000","1980年度","","24.321","","10.195",""
"20386","長野県 中川村","2015100000","2015年度","","13.381","","33.361",""
"20386","長野県 中川村","2010100000","2010年度","","12.732","","30.272",""
"20386","長野県 中川村","2005100000","2005年度","","14.497","","27.551",""
"20386","長野県 中川村","2000100000","2000年度","","16.183","","25.352",""
"20386","長野県 中川村","1995100000","1995年度","","18.752","","22.960",""
"20386","長野県 中川村","1990100000","1990年度","","19.228","","21.004",""
"20386","長野県 中川村","1985100000","1985年度","","19.738","","18.214",""
"20386","長野県 中川村","1980100000","1980年度","","20.257","","16.347",""
"20388","長野県 宮田村","2015100000","2015年度","","15.180","","28.081",""
"20388","長野県 宮田村","2010100000","2010年度","","16.548","","24.549",""
"20388","長野県 宮田村","2005100000","2005年度","","17.038","","22.101",""
"20388","長野県 宮田村","2000100000","2000年度","","16.325","","20.651",""
"20388","長野県 宮田村","1995100000","1995年度","","15.883","","18.191",""
"20388","長野県 宮田村","1990100000","1990年度","","17.874","","15.353",""
"20388","長野県 宮田村","1985100000","1985年度","","21.233","","12.687",""
"20388","長野県 宮田村","1980100000","1980年度","","22.382","","11.738",""
"20402","長野県 松川町","2015100000","2015年度","","12.729","","32.035",""
"20402","長野県 松川町","2010100000","2010年度","","13.966","","28.744",""
"20402","長野県 松川町","2005100000","2005年度","","15.860","","25.770",""
"20402","長野県 松川町","2000100000","2000年度","","16.766","","23.497",""
"20402","長野県 松川町","1995100000","1995年度","","17.375","","21.679",""
"20402","長野県 松川町","1990100000","1990年度","","18.820","","18.038",""
"20402","長野県 松川町","1985100000","1985年度","","20.221","","14.966",""
"20402","長野県 松川町","1980100000","1980年度","","21.643","","13.290",""
"20403","長野県 高森町","2015100000","2015年度","","15.818","","30.352",""
"20403","長野県 高森町","2010100000","2010年度","","15.943","","27.489",""
"20403","長野県 高森町","2005100000","2005年度","","15.105","","25.902",""
"20403","長野県 高森町","2000100000","2000年度","","15.453","","23.723",""
"20403","長野県 高森町","1995100000","1995年度","","16.340","","21.629",""
"20403","長野県 高森町","1990100000","1990年度","","18.811","","17.552",""
"20403","長野県 高森町","1985100000","1985年度","","21.228","","14.848",""
"20403","長野県 高森町","1980100000","1980年度","","22.380","","12.953",""
"20404","長野県 阿南町","2015100000","2015年度","","9.714","","42.181",""
"20404","長野県 阿南町","2010100000","2010年度","","10.596","","39.963",""
"20404","長野県 阿南町","2005100000","2005年度","","11.520","","38.530",""
"20404","長野県 阿南町","2000100000","2000年度","","12.516","","36.104",""
"20404","長野県 阿南町","1995100000","1995年度","","13.511","","32.567",""
"20404","長野県 阿南町","1990100000","1990年度","","14.231","","27.879",""
"20404","長野県 阿南町","1985100000","1985年度","","15.286","","22.887",""
"20404","長野県 阿南町","1980100000","1980年度","","16.872","","19.822",""
"20407","長野県 阿智村","2015100000","2015年度","","13.307","","34.017",""
"20407","長野県 阿智村","2010100000","2010年度","","13.886","","30.742",""
"20407","長野県 阿智村","2005100000","2005年度","","14.971","","28.908",""
"20407","長野県 阿智村","2000100000","2000年度","","15.908","","28.581",""
"20407","長野県 阿智村","1995100000","1995年度","","17.133","","25.789",""
"20407","長野県 阿智村","1990100000","1990年度","","17.510","","22.275",""
"20407","長野県 阿智村","1985100000","1985年度","","18.044","","18.872",""
"20407","長野県 阿智村","1980100000","1980年度","","18.074","","16.372",""
"20409","長野県 平谷村","2015100000","2015年度","","13.843","","37.810",""
"20409","長野県 平谷村","2010100000","2010年度","","11.368","","38.899",""
"20409","長野県 平谷村","2005100000","2005年度","","12.209","","35.320",""
"20409","長野県 平谷村","2000100000","2000年度","","18.961","","33.146",""
"20409","長野県 平谷村","1995100000","1995年度","","16.364","","33.485",""
"20409","長野県 平谷村","1990100000","1990年度","","15.397","","28.525",""
"20409","長野県 平谷村","1985100000","1985年度","","14.488","","25.039",""
"20409","長野県 平谷村","1980100000","1980年度","","12.481","","24.049",""
"20410","長野県 根羽村","2015100000","2015年度","","7.216","","49.278",""
"20410","長野県 根羽村","2010100000","2010年度","","8.946","","44.907",""
"20410","長野県 根羽村","2005100000","2005年度","","11.173","","42.618",""
"20410","長野県 根羽村","2000100000","2000年度","","12.609","","38.551",""
"20410","長野県 根羽村","1995100000","1995年度","","14.126","","32.852",""
"20410","長野県 根羽村","1990100000","1990年度","","15.322","","26.266",""
"20410","長野県 根羽村","1985100000","1985年度","","17.073","","20.732",""
"20410","長野県 根羽村","1980100000","1980年度","","18.951","","18.105",""
"20411","長野県 下條村","2015100000","2015年度","","15.035","","31.966",""
"20411","長野県 下條村","2010100000","2010年度","","16.643","","28.619",""
"20411","長野県 下條村","2005100000","2005年度","","17.458","","28.717",""
"20411","長野県 下條村","2000100000","2000年度","","16.736","","27.313",""
"20411","長野県 下條村","1995100000","1995年度","","15.984","","26.149",""
"20411","長野県 下條村","1990100000","1990年度","","16.429","","23.322",""
"20411","長野県 下條村","1985100000","1985年度","","17.955","","19.042",""
"20411","長野県 下條村","1980100000","1980年度","","19.201","","17.533",""
"20412","長野県 売木村","2015100000","2015年度","","10.957","","45.043",""
"20412","長野県 売木村","2010100000","2010年度","","10.671","","44.665",""
"20412","長野県 売木村","2005100000","2005年度","","11.565","","43.401",""
"20412","長野県 売木村","2000100000","2000年度","","12.955","","38.866",""
"20412","長野県 売木村","1995100000","1995年度","","11.376","","35.317",""
"20412","長野県 売木村","1990100000","1990年度","","11.709","","32.167",""
"20412","長野県 売木村","1985100000","1985年度","","14.594","","24.492",""
"20412","長野県 売木村","1980100000","1980年度","","16.546","","19.686",""
"20413","長野県 天龍村","2015100000","2015年度","","5.788","","59.048",""
"20413","長野県 天龍村","2010100000","2010年度","","6.156","","54.074",""
"20413","長野県 天龍村","2005100000","2005年度","","6.394","","48.901",""
"20413","長野県 天龍村","2000100000","2000年度","","7.414","","43.636",""
"20413","長野県 天龍村","1995100000","1995年度","","8.589","","38.323",""
"20413","長野県 天龍村","1990100000","1990年度","","11.729","","30.617",""
"20413","長野県 天龍村","1985100000","1985年度","","14.159","","23.861",""
"20413","長野県 天龍村","1980100000","1980年度","","16.731","","19.032",""
"20414","長野県 泰阜村","2015100000","2015年度","","10.400","","39.953",""
"20414","長野県 泰阜村","2010100000","2010年度","","11.728","","37.487",""
"20414","長野県 泰阜村","2005100000","2005年度","","13.434","","37.100",""
"20414","長野県 泰阜村","2000100000","2000年度","","14.886","","35.002",""
"20414","長野県 泰阜村","1995100000","1995年度","","14.934","","33.304",""
"20414","長野県 泰阜村","1990100000","1990年度","","14.962","","27.452",""
"20414","長野県 泰阜村","1985100000","1985年度","","13.937","","22.633",""
"20414","長野県 泰阜村","1980100000","1980年度","","15.959","","18.676",""
"20415","長野県 喬木村","2015100000","2015年度","","13.962","","33.011",""
"20415","長野県 喬木村","2010100000","2010年度","","14.480","","30.604",""
"20415","長野県 喬木村","2005100000","2005年度","","13.715","","28.617",""
"20415","長野県 喬木村","2000100000","2000年度","","14.233","","27.536",""
"20415","長野県 喬木村","1995100000","1995年度","","14.977","","25.763",""
"20415","長野県 喬木村","1990100000","1990年度","","17.896","","20.920",""
"20415","長野県 喬木村","1985100000","1985年度","","20.838","","17.374",""
"20415","長野県 喬木村","1980100000","1980年度","","20.612","","16.016",""
"20416","長野県 豊丘村","2015100000","2015年度","","14.320","","31.766",""
"20416","長野県 豊丘村","2010100000","2010年度","","14.122","","30.210",""
"20416","長野県 豊丘村","2005100000","2005年度","","15.294","","28.877",""
"20416","長野県 豊丘村","2000100000","2000年度","","16.147","","27.226",""
"20416","長野県 豊丘村","1995100000","1995年度","","16.808","","24.927",""
"20416","長野県 豊丘村","1990100000","1990年度","","18.335","","20.830",""
"20416","長野県 豊丘村","1985100000","1985年度","","19.344","","17.759",""
"20416","長野県 豊丘村","1980100000","1980年度","","19.746","","15.319",""
"20417","長野県 大鹿村","2015100000","2015年度","","8.895","","50.831",""
"20417","長野県 大鹿村","2010100000","2010年度","","8.190","","51.552",""
"20417","長野県 大鹿村","2005100000","2005年度","","8.997","","48.156",""
"20417","長野県 大鹿村","2000100000","2000年度","","9.724","","41.787",""
"20417","長野県 大鹿村","1995100000","1995年度","","10.725","","37.172",""
"20417","長野県 大鹿村","1990100000","1990年度","","10.655","","29.689",""
"20417","長野県 大鹿村","1985100000","1985年度","","11.038","","24.042",""
"20417","長野県 大鹿村","1980100000","1980年度","","15.375","","19.681",""
"20422","長野県 上松町","2015100000","2015年度","","9.465","","39.358",""
"20422","長野県 上松町","2010100000","2010年度","","10.753","","36.339",""
"20422","長野県 上松町","2005100000","2005年度","","11.837","","33.241",""
"20422","長野県 上松町","2000100000","2000年度","","13.739","","29.862",""
"20422","長野県 上松町","1995100000","1995年度","","14.877","","25.990",""
"20422","長野県 上松町","1990100000","1990年度","","16.821","","20.938",""
