地域コード,地域,調査年コード,調査年,15歳未満人口割合,65歳以上人口割合,課税対象所得
1226,北海道 砂川市,2010,2010年度,11.267,31.129,19216143.0
1226,北海道 砂川市,2005,2005年度,12.019,27.985,20674036.0
1226,北海道 砂川市,2000,2000年度,12.794,23.595,24274476.0
1226,北海道 砂川市,1995,1995年度,14.603,19.123,25666635.0
1226,北海道 砂川市,1990,1990年度,17.471,14.534,21836512.0
1227,北海道 歌志内市,2015,2015年度,6.053,46.639,2832159.0
1227,北海道 歌志内市,2010,2010年度,7.682,41.213,3248317.0
1227,北海道 歌志内市,2005,2005年度,8.542,36.794,3886220.0
1227,北海道 歌志内市,2000,2000年度,9.493,32.638,5084626.0
1227,北海道 歌志内市,1995,1995年度,12.276,26.198,6922086.0
1227,北海道 歌志内市,1990,1990年度,15.594,19.543,6526188.0
1228,北海道 深川市,2015,2015年度,9.106,39.326,21509901.0
1228,北海道 深川市,2010,2010年度,9.68,34.94,22019111.0
1228,北海道 深川市,2005,2005年度,10.794,30.594,24480352.0
1228,北海道 深川市,2000,2000年度,11.701,26.009,30037968.0
1228,北海道 深川市,1995,1995年度,13.274,21.634,31997459.0
1228,北海道 深川市,1990,1990年度,15.441,17.59,27217355.0
1229,北海道 富良野市,2015,2015年度,11.702,30.938,25462082.0
1229,北海道 富良野市,2010,2010年度,13.005,26.844,25065715.0
1229,北海道 富良野市,2005,2005年度,14.229,24.597,26242886.0
1229,北海道 富良野市,2000,2000年度,15.575,21.312,28465396.0
1229,北海道 富良野市,1995,1995年度,16.87,17.738,29711604.0
1229,北海道 富良野市,1990,1990年度,18.612,14.48,23841519.0
1230,北海道 登別市,2015,2015年度,10.704,33.455,52387142.0
1230,北海道 登別市,2010,2010年度,11.812,28.358,55051161.0
1230,北海道 登別市,2005,2005年度,12.25,24.588,56713977.0
1230,北海道 登別市,2000,2000年度,13.314,20.264,63312813.0
1230,北海道 登別市,1995,1995年度,14.675,16.081,67885699.0
1230,北海道 登別市,1990,1990年度,17.272,13.124,51133075.0
1231,北海道 恵庭市,2015,2015年度,13.101,25.057,79994619.0
1231,北海道 恵庭市,2010,2010年度,13.966,20.793,79705286.0
1231,北海道 恵庭市,2005,2005年度,15.102,17.522,81006039.0
1231,北海道 恵庭市,2000,2000年度,16.279,14.275,86357004.0
1231,北海道 恵庭市,1995,1995年度,18.178,10.718,85205144.0
1231,北海道 恵庭市,1990,1990年度,20.64,8.205,61062014.0
1233,北海道 伊達市,2015,2015年度,11.333,34.596,37235890.0
1233,北海道 伊達市,2010,2010年度,11.787,30.432,37734701.0
1233,北海道 伊達市,2005,2005年度,12.451,27.017,39664577.0
1233,北海道 伊達市,2000,2000年度,12.879,23.474,41778535.0
1233,北海道 伊達市,1995,1995年度,14.899,19.24,41913631.0
1233,北海道 伊達市,1990,1990年度,17.374,15.988,32069407.0
1234,北海道 北広島市,2015,2015年度,12.212,28.957,68025106.0
1234,北海道 北広島市,2010,2010年度,13.393,22.446,69467093.0
1234,北海道 北広島市,2005,2005年度,14.127,18.182,73516279.0
1234,北海道 北広島市,2000,2000年度,15.208,15.11,77602039.0
1234,北海道 北広島市,1995,1995年度,17.799,12.358,76020881.0
1234,北海道 北広島市,1990,1990年度,21.261,9.942,54585191.0
1235,北海道 石狩市,2015,2015年度,12.91,29.997,58499547.0
1235,北海道 石狩市,2010,2010年度,13.563,23.148,60066802.0
1235,北海道 石狩市,2005,2005年度,13.783,19.285,66257662.0
1235,北海道 石狩市,2000,2000年度,14.544,16.24,73592257.0
1235,北海道 石狩市,1995,1995年度,17.532,13.539,72799196.0
1235,北海道 石狩市,1990,1990年度,21.734,10.844,54354424.0
1236,北海道 北斗市,2015,2015年度,13.695,26.508,46480246.0
1236,北海道 北斗市,2010,2010年度,15.025,22.379,45123671.0
1236,北海道 北斗市,2005,2005年度,15.746,19.673,45823157.0
1236,北海道 北斗市,2000,2000年度,16.407,17.223,48987399.0
1236,北海道 北斗市,1995,1995年度,17.167,15.159,44478579.0
1236,北海道 北斗市,1990,1990年度,18.789,12.803,31653878.0
1303,北海道 当別町,2015,2015年度,8.954,30.154,17496138.0
1303,北海道 当別町,2010,2010年度,11.5,24.48,18335173.0
1303,北海道 当別町,2005,2005年度,14.608,20.278,19180108.0
1303,北海道 当別町,2000,2000年度,16.951,16.96,23720724.0
1303,北海道 当別町,1995,1995年度,17.98,14.564,21845727.0
1303,北海道 当別町,1990,1990年度,16.316,14.161,13570865.0
1304,北海道 新篠津村,2015,2015年度,10.724,33.043,3015669.0
1304,北海道 新篠津村,2010,2010年度,11.437,29.986,3596099.0
1304,北海道 新篠津村,2005,2005年度,12.791,26.974,3166100.0
1304,北海道 新篠津村,2000,2000年度,13.122,22.944,3495443.0
1304,北海道 新篠津村,1995,1995年度,14.647,19.279,3482267.0
1304,北海道 新篠津村,1990,1990年度,17.686,16.216,2650011.0
1331,北海道 松前町,2015,2015年度,7.387,45.959,6794569.0
1331,北海道 松前町,2010,2010年度,9.042,37.997,7430032.0
1331,北海道 松前町,2005,2005年度,11.382,31.499,9446246.0
1331,北海道 松前町,2000,2000年度,13.144,26.719,12253343.0
1331,北海道 松前町,1995,1995年度,16.311,21.381,14291453.0
1331,北海道 松前町,1990,1990年度,20.56,16.787,11450165.0
1332,北海道 福島町,2015,2015年度,7.485,41.904,3766918.0
1332,北海道 福島町,2010,2010年度,8.721,36.605,3998664.0
1332,北海道 福島町,2005,2005年度,10.293,31.101,5139286.0
1332,北海道 福島町,2000,2000年度,12.362,25.754,7320460.0
1332,北海道 福島町,1995,1995年度,15.37,21.238,8220889.0
1332,北海道 福島町,1990,1990年度,19.541,16.792,6316855.0
1333,北海道 知内町,2015,2015年度,10.918,34.214,4232260.0
1333,北海道 知内町,2010,2010年度,12.534,29.602,4394985.0
1333,北海道 知内町,2005,2005年度,13.787,26.694,4849369.0
1333,北海道 知内町,2000,2000年度,15.261,23.08,6071230.0
1333,北海道 知内町,1995,1995年度,18.569,17.935,6201000.0
1333,北海道 知内町,1990,1990年度,22.247,14.069,4749056.0
1334,北海道 木古内町,2015,2015年度,6.752,44.073,3932678.0
1334,北海道 木古内町,2010,2010年度,8.276,38.738,4477110.0
1334,北海道 木古内町,2005,2005年度,10.259,33.566,5163993.0
1334,北海道 木古内町,2000,2000年度,12.408,28.207,6756888.0
1334,北海道 木古内町,1995,1995年度,14.614,22.758,7672874.0
1334,北海道 木古内町,1990,1990年度,17.927,18.95,6132104.0
1337,北海道 七飯町,2015,2015年度,12.034,32.212,27456363.0
1337,北海道 七飯町,2010,2010年度,12.673,27.833,26798448.0
1337,北海道 七飯町,2005,2005年度,13.985,24.363,28426704.0
1337,北海道 七飯町,2000,2000年度,15.187,21.034,31147804.0
1337,北海道 七飯町,1995,1995年度,17.041,17.485,29155055.0
1337,北海道 七飯町,1990,1990年度,18.762,15.006,20316912.0
