"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","C120110",""
"地域 コード","地域","調査年 コード","調査年","/項目","C120110_課税対象所得【千円】","注釈"
"01106","北海道 札幌市 南区","2001100000","2001年度","","-",""
"01107","北海道 札幌市 西区","2020100000","2020年度","","-",""
"01107","北海道 札幌市 西区","2019100000","2019年度","","-",""
"01107","北海道 札幌市 西区","2018100000","2018年度","","-",""
"01107","北海道 札幌市 西区","2017100000","2017年度","","-",""
"01107","北海道 札幌市 西区","2016100000","2016年度","","-",""
"01107","北海道 札幌市 西区","2015100000","2015年度","","-",""
"01107","北海道 札幌市 西区","2014100000","2014年度","","-",""
"01107","北海道 札幌市 西区","2013100000","2013年度","","-",""
"01107","北海道 札幌市 西区","2012100000","2012年度","","-",""
"01107","北海道 札幌市 西区","2011100000","2011年度","","-",""
"01107","北海道 札幌市 西区","2010100000","2010年度","","-",""
"01107","北海道 札幌市 西区","2009100000","2009年度","","-",""
"01107","北海道 札幌市 西区","2008100000","2008年度","","-",""
"01107","北海道 札幌市 西区","2007100000","2007年度","","-",""
"01107","北海道 札幌市 西区","2006100000","2006年度","","-",""
"01107","北海道 札幌市 西区","2005100000","2005年度","","-",""
"01107","北海道 札幌市 西区","2004100000","2004年度","","-",""
"01107","北海道 札幌市 西区","2003100000","2003年度","","-",""
"01107","北海道 札幌市 西区","2002100000","2002年度","","-",""
"01107","北海道 札幌市 西区","2001100000","2001年度","","-",""
"01108","北海道 札幌市 厚別区","2020100000","2020年度","","-",""
"01108","北海道 札幌市 厚別区","2019100000","2019年度","","-",""
"01108","北海道 札幌市 厚別区","2018100000","2018年度","","-",""
"01108","北海道 札幌市 厚別区","2017100000","2017年度","","-",""
"01108","北海道 札幌市 厚別区","2016100000","2016年度","","-",""
"01108","北海道 札幌市 厚別区","2015100000","2015年度","","-",""
"01108","北海道 札幌市 厚別区","2014100000","2014年度","","-",""
"01108","北海道 札幌市 厚別区","2013100000","2013年度","","-",""
"01108","北海道 札幌市 厚別区","2012100000","2012年度","","-",""
"01108","北海道 札幌市 厚別区","2011100000","2011年度","","-",""
"01108","北海道 札幌市 厚別区","2010100000","2010年度","","-",""
"01108","北海道 札幌市 厚別区","2009100000","2009年度","","-",""
"01108","北海道 札幌市 厚別区","2008100000","2008年度","","-",""
"01108","北海道 札幌市 厚別区","2007100000","2007年度","","-",""
"01108","北海道 札幌市 厚別区","2006100000","2006年度","","-",""
"01108","北海道 札幌市 厚別区","2005100000","2005年度","","-",""
"01108","北海道 札幌市 厚別区","2004100000","2004年度","","-",""
"01108","北海道 札幌市 厚別区","2003100000","2003年度","","-",""
"01108","北海道 札幌市 厚別区","2002100000","2002年度","","-",""
"01108","北海道 札幌市 厚別区","2001100000","2001年度","","-",""
"01109","北海道 札幌市 手稲区","2020100000","2020年度","","-",""
"01109","北海道 札幌市 手稲区","2019100000","2019年度","","-",""
"01109","北海道 札幌市 手稲区","2018100000","2018年度","","-",""
"01109","北海道 札幌市 手稲区","2017100000","2017年度","","-",""
"01109","北海道 札幌市 手稲区","2016100000","2016年度","","-",""
"01109","北海道 札幌市 手稲区","2015100000","2015年度","","-",""
"01109","北海道 札幌市 手稲区","2014100000","2014年度","","-",""
"01109","北海道 札幌市 手稲区","2013100000","2013年度","","-",""
"01109","北海道 札幌市 手稲区","2012100000","2012年度","","-",""
"01109","北海道 札幌市 手稲区","2011100000","2011年度","","-",""
"01109","北海道 札幌市 手稲区","2010100000","2010年度","","-",""
"01109","北海道 札幌市 手稲区","2009100000","2009年度","","-",""
"01109","北海道 札幌市 手稲区","2008100000","2008年度","","-",""
"01109","北海道 札幌市 手稲区","2007100000","2007年度","","-",""
"01109","北海道 札幌市 手稲区","2006100000","2006年度","","-",""
"01109","北海道 札幌市 手稲区","2005100000","2005年度","","-",""
"01109","北海道 札幌市 手稲区","2004100000","2004年度","","-",""
"01109","北海道 札幌市 手稲区","2003100000","2003年度","","-",""
"01109","北海道 札幌市 手稲区","2002100000","2002年度","","-",""
"01109","北海道 札幌市 手稲区","2001100000","2001年度","","-",""
"01110","北海道 札幌市 清田区","2020100000","2020年度","","-",""
"01110","北海道 札幌市 清田区","2019100000","2019年度","","-",""
"01110","北海道 札幌市 清田区","2018100000","2018年度","","-",""
"01110","北海道 札幌市 清田区","2017100000","2017年度","","-",""
"01110","北海道 札幌市 清田区","2016100000","2016年度","","-",""
"01110","北海道 札幌市 清田区","2015100000","2015年度","","-",""
"01110","北海道 札幌市 清田区","2014100000","2014年度","","-",""
"01110","北海道 札幌市 清田区","2013100000","2013年度","","-",""
"01110","北海道 札幌市 清田区","2012100000","2012年度","","-",""
"01110","北海道 札幌市 清田区","2011100000","2011年度","","-",""
"01110","北海道 札幌市 清田区","2010100000","2010年度","","-",""
"01110","北海道 札幌市 清田区","2009100000","2009年度","","-",""
"01110","北海道 札幌市 清田区","2008100000","2008年度","","-",""
"01110","北海道 札幌市 清田区","2007100000","2007年度","","-",""
"01110","北海道 札幌市 清田区","2006100000","2006年度","","-",""
"01110","北海道 札幌市 清田区","2005100000","2005年度","","-",""
"01110","北海道 札幌市 清田区","2004100000","2004年度","","-",""
"01110","北海道 札幌市 清田区","2003100000","2003年度","","-",""
"01110","北海道 札幌市 清田区","2002100000","2002年度","","-",""
"01110","北海道 札幌市 清田区","2001100000","2001年度","","-",""
"01202","北海道 函館市","2020100000","2020年度","","314,220,339",""
"01202","北海道 函館市","2019100000","2019年度","","311,404,958",""
"01202","北海道 函館市","2018100000","2018年度","","309,138,713",""
"01202","北海道 函館市","2017100000","2017年度","","304,808,874",""
"01202","北海道 函館市","2016100000","2016年度","","299,941,714",""
"01202","北海道 函館市","2015100000","2015年度","","295,671,670",""
"01202","北海道 函館市","2014100000","2014年度","","294,629,878",""
"01202","北海道 函館市","2013100000","2013年度","","294,799,256",""
"01202","北海道 函館市","2012100000","2012年度","","298,002,711",""
"01202","北海道 函館市","2011100000","2011年度","","296,182,240",""
"01202","北海道 函館市","2010100000","2010年度","","299,676,771",""
"01202","北海道 函館市","2009100000","2009年度","","315,532,223",""
"01202","北海道 函館市","2008100000","2008年度","","323,793,164",""
"01202","北海道 函館市","2007100000","2007年度","","328,767,824",""
"01202","北海道 函館市","2006100000","2006年度","","336,625,374",""
"01202","北海道 函館市","2005100000","2005年度","","326,661,076",""
"01202","北海道 函館市","2004100000","2004年度","","328,019,628",""
"01202","北海道 函館市","2003100000","2003年度","","340,192,918",""
"01202","北海道 函館市","2002100000","2002年度","","353,880,516",""
