"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","C120110",""
"地域 コード","地域","調査年 コード","調査年","/項目","C120110_課税対象所得【千円】","注釈"
"01209","北海道 夕張市","1994100000","1994年度","","18,128,837",""
"01209","北海道 夕張市","1993100000","1993年度","","18,026,369",""
"01209","北海道 夕張市","1992100000","1992年度","","18,615,192",""
"01209","北海道 夕張市","1991100000","1991年度","","18,540,994",""
"01209","北海道 夕張市","1990100000","1990年度","","20,270,794",""
"01209","北海道 夕張市","1989100000","1989年度","","20,623,686",""
"01210","北海道 岩見沢市","2000100000","2000年度","","108,291,075",""
"01210","北海道 岩見沢市","1999100000","1999年度","","109,729,396",""
"01210","北海道 岩見沢市","1998100000","1998年度","","112,450,108",""
"01210","北海道 岩見沢市","1997100000","1997年度","","114,601,660",""
"01210","北海道 岩見沢市","1996100000","1996年度","","115,041,301",""
"01210","北海道 岩見沢市","1995100000","1995年度","","114,908,633",""
"01210","北海道 岩見沢市","1994100000","1994年度","","110,773,507",""
"01210","北海道 岩見沢市","1993100000","1993年度","","102,698,996",""
"01210","北海道 岩見沢市","1992100000","1992年度","","102,490,662",""
"01210","北海道 岩見沢市","1991100000","1991年度","","94,985,711",""
"01210","北海道 岩見沢市","1990100000","1990年度","","85,077,064",""
"01210","北海道 岩見沢市","1989100000","1989年度","","81,968,061",""
"01211","北海道 網走市","2000100000","2000年度","","62,249,718",""
"01211","北海道 網走市","1999100000","1999年度","","61,392,398",""
"01211","北海道 網走市","1998100000","1998年度","","60,644,767",""
"01211","北海道 網走市","1997100000","1997年度","","61,089,281",""
"01211","北海道 網走市","1996100000","1996年度","","61,031,382",""
"01211","北海道 網走市","1995100000","1995年度","","58,263,659",""
"01211","北海道 網走市","1994100000","1994年度","","58,558,359",""
"01211","北海道 網走市","1993100000","1993年度","","55,689,679",""
"01211","北海道 網走市","1992100000","1992年度","","56,455,410",""
"01211","北海道 網走市","1991100000","1991年度","","49,643,339",""
"01211","北海道 網走市","1990100000","1990年度","","45,995,937",""
"01211","北海道 網走市","1989100000","1989年度","","46,143,934",""
"01212","北海道 留萌市","2000100000","2000年度","","39,707,916",""
"01212","北海道 留萌市","1999100000","1999年度","","40,362,628",""
"01212","北海道 留萌市","1998100000","1998年度","","40,791,879",""
"01212","北海道 留萌市","1997100000","1997年度","","41,954,658",""
"01212","北海道 留萌市","1996100000","1996年度","","40,467,956",""
"01212","北海道 留萌市","1995100000","1995年度","","40,515,567",""
"01212","北海道 留萌市","1994100000","1994年度","","40,005,450",""
"01212","北海道 留萌市","1993100000","1993年度","","39,461,995",""
"01212","北海道 留萌市","1992100000","1992年度","","38,120,923",""
"01212","北海道 留萌市","1991100000","1991年度","","36,610,578",""
"01212","北海道 留萌市","1990100000","1990年度","","34,350,080",""
"01212","北海道 留萌市","1989100000","1989年度","","32,871,702",""
"01213","北海道 苫小牧市","2000100000","2000年度","","223,022,638",""
"01213","北海道 苫小牧市","1999100000","1999年度","","229,238,101",""
"01213","北海道 苫小牧市","1998100000","1998年度","","236,456,779",""
"01213","北海道 苫小牧市","1997100000","1997年度","","236,027,611",""
"01213","北海道 苫小牧市","1996100000","1996年度","","229,285,197",""
"01213","北海道 苫小牧市","1995100000","1995年度","","226,371,884",""
"01213","北海道 苫小牧市","1994100000","1994年度","","220,615,907",""
"01213","北海道 苫小牧市","1993100000","1993年度","","211,214,570",""
"01213","北海道 苫小牧市","1992100000","1992年度","","205,648,132",""
"01213","北海道 苫小牧市","1991100000","1991年度","","188,753,552",""
"01213","北海道 苫小牧市","1990100000","1990年度","","168,574,729",""
"01213","北海道 苫小牧市","1989100000","1989年度","","157,520,932",""
"01214","北海道 稚内市","2000100000","2000年度","","65,316,495",""
"01214","北海道 稚内市","1999100000","1999年度","","64,803,643",""
"01214","北海道 稚内市","1998100000","1998年度","","64,794,343",""
"01214","北海道 稚内市","1997100000","1997年度","","63,671,151",""
"01214","北海道 稚内市","1996100000","1996年度","","61,913,473",""
"01214","北海道 稚内市","1995100000","1995年度","","61,974,789",""
"01214","北海道 稚内市","1994100000","1994年度","","60,747,402",""
"01214","北海道 稚内市","1993100000","1993年度","","58,968,288",""
"01214","北海道 稚内市","1992100000","1992年度","","59,393,205",""
"01214","北海道 稚内市","1991100000","1991年度","","55,874,270",""
"01214","北海道 稚内市","1990100000","1990年度","","51,846,781",""
"01214","北海道 稚内市","1989100000","1989年度","","49,640,245",""
"01215","北海道 美唄市","2000100000","2000年度","","31,776,107",""
"01215","北海道 美唄市","1999100000","1999年度","","32,363,760",""
"01215","北海道 美唄市","1998100000","1998年度","","33,320,674",""
"01215","北海道 美唄市","1997100000","1997年度","","34,824,698",""
"01215","北海道 美唄市","1996100000","1996年度","","34,394,750",""
"01215","北海道 美唄市","1995100000","1995年度","","35,359,401",""
"01215","北海道 美唄市","1994100000","1994年度","","35,222,074",""
"01215","北海道 美唄市","1993100000","1993年度","","33,057,286",""
"01215","北海道 美唄市","1992100000","1992年度","","32,393,453",""
"01215","北海道 美唄市","1991100000","1991年度","","30,538,328",""
"01215","北海道 美唄市","1990100000","1990年度","","27,726,158",""
"01215","北海道 美唄市","1989100000","1989年度","","27,259,893",""
"01216","北海道 芦別市","2000100000","2000年度","","18,884,817",""
"01216","北海道 芦別市","1999100000","1999年度","","19,441,562",""
"01216","北海道 芦別市","1998100000","1998年度","","20,191,950",""
"01216","北海道 芦別市","1997100000","1997年度","","21,169,914",""
"01216","北海道 芦別市","1996100000","1996年度","","21,017,043",""
"01216","北海道 芦別市","1995100000","1995年度","","21,431,281",""
"01216","北海道 芦別市","1994100000","1994年度","","21,788,738",""
"01216","北海道 芦別市","1993100000","1993年度","","21,956,796",""
"01216","北海道 芦別市","1992100000","1992年度","","22,397,705",""
"01216","北海道 芦別市","1991100000","1991年度","","21,578,222",""
"01216","北海道 芦別市","1990100000","1990年度","","19,513,311",""
"01216","北海道 芦別市","1989100000","1989年度","","20,339,597",""
"01217","北海道 江別市","2000100000","2000年度","","153,437,993",""
"01217","北海道 江別市","1999100000","1999年度","","153,735,885",""
"01217","北海道 江別市","1998100000","1998年度","","155,650,297",""
"01217","北海道 江別市","1997100000","1997年度","","157,363,478",""
"01217","北海道 江別市","1996100000","1996年度","","149,346,467",""
"01217","北海道 江別市","1995100000","1995年度","","144,912,931",""
"01217","北海道 江別市","1994100000","1994年度","","138,223,990",""
"01217","北海道 江別市","1993100000","1993年度","","129,348,466",""
"01217","北海道 江別市","1992100000","1992年度","","124,033,316",""
"01217","北海道 江別市","1991100000","1991年度","","115,406,091",""
"01217","北海道 江別市","1990100000","1990年度","","99,383,263",""
"01217","北海道 江別市","1989100000","1989年度","","91,884,496",""
"01218","北海道 赤平市","2000100000","2000年度","","15,022,540",""
"01218","北海道 赤平市","1999100000","1999年度","","15,369,448",""
"01218","北海道 赤平市","1998100000","1998年度","","16,035,219",""
"01218","北海道 赤平市","1997100000","1997年度","","16,434,440",""
"01218","北海道 赤平市","1996100000","1996年度","","16,229,528",""
"01218","北海道 赤平市","1995100000","1995年度","","16,508,772",""
"01218","北海道 赤平市","1994100000","1994年度","","18,208,619",""
"01218","北海道 赤平市","1993100000","1993年度","","17,939,456",""
"01218","北海道 赤平市","1992100000","1992年度","","17,242,444",""
"01218","北海道 赤平市","1991100000","1991年度","","16,576,737",""
"01218","北海道 赤平市","1990100000","1990年度","","15,499,533",""
"01218","北海道 赤平市","1989100000","1989年度","","15,586,737",""
"01219","北海道 紋別市","2000100000","2000年度","","36,729,004",""
"01219","北海道 紋別市","1999100000","1999年度","","35,711,413",""
"01219","北海道 紋別市","1998100000","1998年度","","36,592,005",""
"01219","北海道 紋別市","1997100000","1997年度","","36,301,214",""
"01219","北海道 紋別市","1996100000","1996年度","","36,291,895",""
"01219","北海道 紋別市","1995100000","1995年度","","35,915,571",""
"01219","北海道 紋別市","1994100000","1994年度","","35,625,885",""
"01219","北海道 紋別市","1993100000","1993年度","","34,847,739",""
"01219","北海道 紋別市","1992100000","1992年度","","35,494,726",""
"01219","北海道 紋別市","1991100000","1991年度","","32,645,896",""
"01219","北海道 紋別市","1990100000","1990年度","","29,531,022",""
"01219","北海道 紋別市","1989100000","1989年度","","30,138,846",""
"01220","北海道 士別市","2000100000","2000年度","","27,212,725",""
"01220","北海道 士別市","1999100000","1999年度","","26,984,643",""
"01220","北海道 士別市","1998100000","1998年度","","27,709,921",""
"01220","北海道 士別市","1997100000","1997年度","","27,925,832",""
"01220","北海道 士別市","1996100000","1996年度","","27,236,795",""
"01220","北海道 士別市","1995100000","1995年度","","27,688,940",""
"01220","北海道 士別市","1994100000","1994年度","","28,685,336",""
"01220","北海道 士別市","1993100000","1993年度","","26,532,284",""
"01220","北海道 士別市","1992100000","1992年度","","26,731,645",""
"01220","北海道 士別市","1991100000","1991年度","","24,096,298",""
"01220","北海道 士別市","1990100000","1990年度","","22,672,132",""
"01220","北海道 士別市","1989100000","1989年度","","21,862,201",""
"01221","北海道 名寄市","2000100000","2000年度","","41,269,108",""
"01221","北海道 名寄市","1999100000","1999年度","","41,540,513",""
"01221","北海道 名寄市","1998100000","1998年度","","41,526,343",""
"01221","北海道 名寄市","1997100000","1997年度","","41,427,791",""
"01221","北海道 名寄市","1996100000","1996年度","","40,221,407",""
"01221","北海道 名寄市","1995100000","1995年度","","40,423,848",""
"01221","北海道 名寄市","1994100000","1994年度","","40,191,256",""
"01221","北海道 名寄市","1993100000","1993年度","","38,861,549",""
"01221","北海道 名寄市","1992100000","1992年度","","37,277,799",""
"01221","北海道 名寄市","1991100000","1991年度","","35,299,853",""
"01221","北海道 名寄市","1990100000","1990年度","","34,396,678",""
"01221","北海道 名寄市","1989100000","1989年度","","33,177,835",""
"01222","北海道 三笠市","2000100000","2000年度","","12,014,102",""
"01222","北海道 三笠市","1999100000","1999年度","","12,584,401",""
"01222","北海道 三笠市","1998100000","1998年度","","13,135,240",""
"01222","北海道 三笠市","1997100000","1997年度","","13,524,192",""
"01222","北海道 三笠市","1996100000","1996年度","","13,807,159",""
"01222","北海道 三笠市","1995100000","1995年度","","13,854,555",""
"01222","北海道 三笠市","1994100000","1994年度","","14,101,020",""
"01222","北海道 三笠市","1993100000","1993年度","","13,522,011",""
"01222","北海道 三笠市","1992100000","1992年度","","13,497,767",""
"01222","北海道 三笠市","1991100000","1991年度","","13,810,150",""
"01222","北海道 三笠市","1990100000","1990年度","","13,506,802",""
"01222","北海道 三笠市","1989100000","1989年度","","14,781,271",""
"01223","北海道 根室市","2000100000","2000年度","","43,903,492",""
"01223","北海道 根室市","1999100000","1999年度","","41,476,407",""
"01223","北海道 根室市","1998100000","1998年度","","42,228,913",""
"01223","北海道 根室市","1997100000","1997年度","","41,554,012",""
"01223","北海道 根室市","1996100000","1996年度","","41,069,129",""
"01223","北海道 根室市","1995100000","1995年度","","39,974,365",""
"01223","北海道 根室市","1994100000","1994年度","","42,437,644",""
"01223","北海道 根室市","1993100000","1993年度","","41,280,104",""
"01223","北海道 根室市","1992100000","1992年度","","41,798,046",""
"01223","北海道 根室市","1991100000","1991年度","","38,178,276",""
"01223","北海道 根室市","1990100000","1990年度","","35,985,478",""
"01223","北海道 根室市","1989100000","1989年度","","35,361,212",""
"01224","北海道 千歳市","2000100000","2000年度","","128,752,562",""
"01224","北海道 千歳市","1999100000","1999年度","","129,522,254",""
"01224","北海道 千歳市","1998100000","1998年度","","131,479,287",""
"01224","北海道 千歳市","1997100000","1997年度","","131,168,041",""
"01224","北海道 千歳市","1996100000","1996年度","","127,171,894",""
"01224","北海道 千歳市","1995100000","1995年度","","124,324,761",""
"01224","北海道 千歳市","1994100000","1994年度","","122,177,820",""
"01224","北海道 千歳市","1993100000","1993年度","","114,588,595",""
"01224","北海道 千歳市","1992100000","1992年度","","113,472,101",""
"01224","北海道 千歳市","1991100000","1991年度","","104,262,923",""
"01224","北海道 千歳市","1990100000","1990年度","","93,731,953",""
"01224","北海道 千歳市","1989100000","1989年度","","86,593,904",""
"01225","北海道 滝川市","2000100000","2000年度","","56,663,193",""
"01225","北海道 滝川市","1999100000","1999年度","","57,570,997",""
"01225","北海道 滝川市","1998100000","1998年度","","58,479,451",""
"01225","北海道 滝川市","1997100000","1997年度","","60,113,132",""
"01225","北海道 滝川市","1996100000","1996年度","","58,783,630",""
"01225","北海道 滝川市","1995100000","1995年度","","59,381,919",""
"01225","北海道 滝川市","1994100000","1994年度","","58,469,037",""
"01225","北海道 滝川市","1993100000","1993年度","","55,977,087",""
"01225","北海道 滝川市","1992100000","1992年度","","55,608,043",""
"01225","北海道 滝川市","1991100000","1991年度","","51,235,945",""
"01225","北海道 滝川市","1990100000","1990年度","","47,256,736",""
"01225","北海道 滝川市","1989100000","1989年度","","46,455,542",""
"01226","北海道 砂川市","2000100000","2000年度","","24,274,476",""
"01226","北海道 砂川市","1999100000","1999年度","","25,376,438",""
"01226","北海道 砂川市","1998100000","1998年度","","26,020,316",""
"01226","北海道 砂川市","1997100000","1997年度","","26,555,781",""
"01226","北海道 砂川市","1996100000","1996年度","","26,317,143",""
"01226","北海道 砂川市","1995100000","1995年度","","25,666,635",""
